x,y,xa,ya
-240,230,-210.47820568870293,261.6140208757806
-240,235,-210.53860612909585,265.45704812894417
-240,240,-210.010950136212,269.81111097705843
-240,245,-209.47269335481968,274.44259546647527
-240,250,-209.49118174988186,279.33815887327796
-240,255,-209.02776320578084,285.6713326825284
-240,260,-209.05762714596264,289.4759337318118
-240,265,-208.61390879387642,294.2184988391008
-240,270,-207.99789864038863,298.53652526520074
-240,275,-208.0965299152859,302.7983932006078
-240,280,-207.8311334495217,307.82145307726967
-240,285,-207.70846036670622,311.5938915595223
-240,290,-207.50612110093118,316.282894181036
-240,295,-206.79301658503357,320.4377639850227
-240,300,-207.51112433210278,325.7372492825837
-240,305,-206.86400463416888,330.88577442230815
-240,310,-206.6759520587287,335.3311494642219
-240,315,-206.45210613471863,339.7466500926205
-240,320,-206.36935966424724,344.72699267067634
-240,325,-206.37313900515448,349.3562284153527
-240,330,-206.01617754325585,354.90318426893117
-240,335,-205.91109433825844,358.87891914617154
-240,340,-205.60205550355246,363.5086385542403
-240,345,-205.5959582102484,367.9904255063828
-240,350,-205.10085580150215,372.82770102827703
-240,355,-204.72598219898836,376.6427942953921
-240,360,-204.71328951802985,382.38196182205644
-240,365,-204.7746971202658,387.2139655577127
-240,370,-204.5743806862317,391.9110297165877
-240,375,-204.18733026727048,396.7708381182976
-230,200,-202.25428807259226,233.9014726691745
-230,205,-202.54134687385073,237.58648414551973
-230,210,-201.99737531394007,241.39905234329945
-230,215,-201.69158736056625,246.98712572714146
-230,220,-201.44571346871464,251.0038948437989
-230,225,-201.4446925575488,256.0980813109278
-230,230,-200.83640090790846,261.4159942977516
-230,235,-200.97283481978837,265.8888721269479
-230,240,-200.73451982638647,269.8311514580302
-230,245,-200.156864994509,274.44512255772753
-230,250,-200.35458204721783,279.64625102034927
-230,255,-200.56868530466946,284.1028174848311
-230,260,-199.86549346048741,288.2587774962377
-230,265,-199.52801204667145,292.67650503964285
-230,270,-198.88079577229817,296.6279607116795
-230,275,-199.54929101724935,302.89151015784824
-230,280,-199.27642163045127,306.44456368971333
-230,285,-199.10829832193136,311.2416419937011
-230,290,-198.79918699529546,316.0757830476835
-230,295,-197.94131280919424,320.15694813925865
-230,300,-198.05870648296198,325.3558208660514
-230,305,-197.86969083772613,331.35937698883953
-230,310,-197.78864147408166,335.64479244012097
-230,315,-197.6045936025896,340.41207704538056
-230,320,-197.01157181458936,344.08551298545484
-230,325,-197.34289616237268,349.2489676470411
-230,330,-196.94740562225746,353.56163408972077
-230,335,-196.72052316471186,357.82267809418306
-230,340,-196.03301620763125,362.3407419775079
-230,345,-196.2316057974351,368.4306110056589
-230,350,-196.03217309731644,373.0573556496259
-230,355,-195.69506204821514,377.46070784011323
-230,360,-195.50940158280167,381.97290478972036
-230,365,-195.31678052799393,387.32194378663684
-230,370,-195.08995097437472,392.19945955095216
-230,375,-195.03359615322702,396.61608203893576
-220,200,-192.89514757152628,232.94546130807447
-220,205,-193.11516613797787,237.42380356445608
-220,210,-193.164081048836,241.6553944428143
-220,215,-193.20568857815454,245.79542615535732
-220,220,-192.70312792727842,250.6637254793464
-220,225,-192.65742141048003,255.53105688195456
-220,230,-192.11393483176033,260.81959077622156
-220,235,-192.12701100761777,264.706998210385
-220,240,-192.01956565174365,269.4917824118094
-220,245,-191.38878637350984,274.30161506608715
-220,250,-190.99019634533056,279.33713484866075
-220,255,-190.71003698158196,283.141492695043
-220,260,-190.71805835070248,288.4686527862535
-220,265,-190.19306280509772,292.8306575905774
-220,270,-189.96033913520748,297.36047837719525
-220,275,-189.97836202354765,302.4045924780772
-220,280,-189.69080891486018,306.5953371764562
-220,285,-189.10929639902815,311.2845447935678
-220,290,-188.93303905166772,316.1967967212848
-220,295,-188.34842676668438,320.541386934891
-220,300,-188.34739149000245,324.82694854672235
-220,305,-188.9060947107738,330.2621416945429
-220,310,-188.02690745648238,334.4591272211967
-220,315,-187.78167241825045,339.57314391759155
-220,320,-188.6497743186569,344.4508027046734
-220,325,-189.61324160485063,349.6202855304771
-220,330,-188.77052366341735,355.05018208486905
-220,335,-187.30837655952746,358.01950642631067
-220,340,-186.644589327918,362.84205649171577
-220,345,-186.48959363196562,367.3501862179389
-220,350,-186.08022241790886,372.12390551160604
-220,355,-185.94940189571696,377.4882440518005
-220,360,-185.55880405985343,382.8220356487033
-220,365,-185.44362318871424,388.15940888847854
-220,370,-184.89193522692773,392.39640673076383
-220,375,-184.95235781224477,396.8887337288355
-210,200,-184.25578815354626,231.85763007128568
-210,205,-184.7391746736214,236.5556343435688
-210,210,-183.68033212523258,241.23529789153008
-210,215,-183.69796631693023,246.03851991570315
-210,220,-183.36251602478885,250.83380070782525
-210,225,-183.5144348658545,255.92591979731665
-210,230,-182.9746010876487,259.7666030779145
-210,235,-183.71173052274955,264.8093092869818
-210,240,-182.43038420815967,270.00961773864606
-210,245,-181.40780087885602,273.4844743052869
-210,250,-181.05736025030006,277.96762540153236
-210,255,-180.11905799412511,282.67859185067545
-210,260,-181.52731973907598,287.1903998361424
-210,265,-181.15279197199814,292.9967247528372
-210,270,-181.48986914500603,297.58897583736336
-210,275,-181.2124939522571,302.0970373409921
-210,280,-180.91799852574394,306.5056174182587
-210,285,-180.4534166073505,310.9240224056592
-210,290,-180.22760178015014,315.41785925196825
-210,295,-179.9856384061742,320.1062247314778
-210,300,-179.14307890409748,324.3717699404886
-210,305,-178.62007120656338,329.468900656762
-210,310,-179.67860865453616,335.1114728909677
-210,315,-179.39246066313325,339.39655312895167
-210,320,-179.27556176627047,343.72183786878475
-210,325,-179.07038365686597,349.2212126852022
-210,330,-178.86327543092276,353.7023698779161
-210,335,-178.0674755926142,358.4149132150704
-210,340,-177.75498328685015,362.5987307678207
-210,345,-177.7101697673249,367.3664876395889
-210,350,-177.61407434318846,370.97241157791143
-210,355,-177.38999043659814,376.55064240564514
-210,360,-177.01619250667588,381.9255179047185
-210,365,-176.8939816602854,386.5146164524129
-210,370,-176.50952318452548,391.57379070718827
-210,375,-176.37598594855243,397.1175997130642
-200,200,-175.2987861968103,230.71660224404613
-200,205,-175.12711238328168,236.32688469251576
-200,210,-174.8777830068654,241.6331902001533
-200,215,-174.69556533726174,246.2838444449457
-200,220,-174.14370590375498,250.8543536520392
-200,225,-174.22345859587892,256.8615983397414
-200,230,-173.4965791131218,261.0227332563127
-200,235,-173.00032516585915,264.5356667824965
-200,240,-172.63715929001614,268.97498078891294
-200,245,-172.8998212874511,272.98038422166053
-200,250,-172.1436627141666,277.8794518676328
-200,255,-172.7000540042726,282.33607571073844
-200,260,-172.41060736969678,287.34913710991714
-200,265,-173.04976498188546,292.7750926032327
-200,270,-172.4822418127655,297.2934267304983
-200,275,-172.05474686700418,301.7271874330623
-200,280,-171.85534243252744,305.96170882314806
-200,285,-170.88869027619825,310.80551027948894
-200,290,-170.945552951819,315.80822295140666
-200,295,-170.64668250370016,319.4006683042571
-200,300,-169.70996579035824,324.4385183595458
-200,305,-169.64489152961588,328.88803019877
-200,310,-170.51012148555134,334.4926839350391
-200,315,-170.12859043443538,338.7762736790325
-200,320,-169.70156682979948,343.5620202873834
-200,325,-169.58277808940656,348.97218886904574
-200,330,-169.36828540497885,352.4987802553018
-200,335,-169.12908489241389,356.73561749219397
-200,340,-168.7500369123801,361.8435603716557
-200,345,-168.59126736091196,366.2890313735652
-200,350,-167.85319764705346,371.2213972469757
-200,355,-169.43474930833116,376.7183873412009
-200,360,-168.4813775605962,381.68055201521634
-200,365,-167.9489217518771,386.85754602047103
-200,370,-167.88649520440492,392.16278627665633
-200,375,-167.78518575293774,396.5467448699752
-190,200,-165.3538875885426,231.1842682470439
-190,205,-165.80256340480327,234.90916553423938
-190,210,-165.62218470057866,239.7330862558808
-190,215,-165.3513438941054,244.9213312313599
-190,220,-165.2082593541611,249.78573236133946
-190,225,-164.98171925989905,253.63445350582663
-190,230,-164.6917459529626,257.9748924151612
-190,235,-164.38966637018413,263.54059467263914
-190,240,-164.10697164895916,268.37500756342257
-190,245,-163.7981423166819,272.85766166480744
-190,250,-163.6895155664061,277.723474709337
-190,255,-162.83407301603407,280.37962288139215
-190,260,-163.3215808452522,286.0023672854302
-190,265,-163.1810450999061,291.25376766565716
-190,270,-162.94772278383815,296.2715338197984
-190,275,-162.624514504191,300.4292038977427
-190,280,-162.4573986480166,304.3375446281837
-190,285,-161.8046008269782,309.78467488866
-190,290,-161.7277183726533,314.2346159696361
-190,295,-161.73334837222046,319.1020558371609
-190,300,-161.69528217366027,324.13549082907656
-190,305,-161.38087446014433,328.7831054648127
-190,310,-161.22897313080819,333.1810729672626
-190,315,-161.04429420437046,338.13339635095537
-190,320,-160.69295967428977,342.64816108804763
-190,325,-160.2637720429741,347.36037988017677
-190,330,-160.12232729631276,352.4269474887041
-190,335,-160.0906082054228,357.01442413224856
-190,340,-159.8806262912314,362.4985834619145
-190,345,-159.43509454114357,366.1923634326464
-190,350,-159.09329058243625,370.8174433472323
-190,355,-159.20091269397417,376.49610265314084
-190,360,-159.28262927534672,380.4402087023078
-190,365,-159.05121968246982,385.04679122122315
-190,370,-158.95091762211243,390.45981069097286
-190,375,-158.67852488938328,396.5213718356558
-180,200,-156.17757288824203,230.94966624306372
-180,205,-156.01191392772017,235.21304751958618
-180,210,-155.8857136326368,239.2359135370243
-180,215,-155.57510762386195,243.90866670255573
-180,220,-155.40852021342818,248.48534233150627
-180,225,-154.8870427494011,253.2719022796811
-180,230,-154.83375810504748,258.35066756276734
-180,235,-154.43709942801303,262.8731405072989
-180,240,-154.2331136657471,267.72724636527744
-180,245,-154.16109789257942,271.8052921256644
-180,250,-153.74768713815888,276.4159036793606
-180,255,-153.72403283146383,282.34356721103927
-180,260,-153.59092668108198,286.2969032133458
-180,265,-153.54133450868073,290.442747113631
-180,270,-153.2247203813567,295.093188660463
-180,275,-153.0639782492594,299.35477918759466
-180,280,-152.76540379825573,305.0690865409234
-180,285,-152.6492306485133,309.3846949857827
-180,290,-152.4787802823002,314.34870585340536
-180,295,-152.2046099312663,317.7937530559845
-180,300,-152.11323249078413,322.87461355771427
-180,305,-151.91256158270008,328.0572238117638
-180,310,-151.47818235956768,332.8224128317257
-180,315,-151.34895787688387,337.78818594113545
-180,320,-151.13456885148878,341.8954711940449
-180,325,-151.04853402920116,347.28651122016686
-180,330,-150.88019384986532,352.74277143592246
-180,335,-150.62490147676726,357.2314360589769
-180,340,-150.4967634947818,361.48491194366727
-180,345,-150.34734388513266,364.9976930607532
-180,350,-150.07502502436688,369.9923056444284
-180,355,-149.99892834928423,375.6563697409593
-180,360,-149.7429124714863,379.99646195949913
-180,365,-149.63363422384765,385.40608807574847
-180,370,-149.35724441398116,389.48146003718955
-180,375,-149.3649811950431,395.3504246898058
-170,200,-147.48342084160234,229.1555516148093
-170,205,-147.1841837835453,234.8437476641114
-170,210,-147.03850489064675,239.64990650442198
-170,215,-147.09778363942291,243.19932948862817
-170,220,-146.80522929927403,248.02347635556447
-170,225,-146.44128037264002,252.5995333857957
-170,230,-146.28116132007477,257.67736230891245
-170,235,-145.96363593163753,262.16123997502325
-170,240,-145.75257860609403,266.8051255799122
-170,245,-145.52943743201394,270.81148680588655
-170,250,-145.36187712399814,275.895266295132
-170,255,-145.20148777237944,280.39937525021156
-170,260,-144.92698597419007,285.2165842921006
-170,265,-144.7824112246489,290.2445344303817
-170,270,-144.68523275821286,295.1848115993478
-170,275,-143.86572365772528,299.90347723896025
-170,280,-144.22807961386147,304.3393641908322
-170,285,-143.94882525088883,308.9241400660383
-170,290,-143.83050395486356,313.45732809066965
-170,295,-143.723361348181,318.7188484520784
-170,300,-143.55516186364497,323.5898892966272
-170,305,-143.35151499687638,328.1750495586871
-170,310,-143.1831105184156,332.5431268039791
-170,315,-143.0535614841041,337.54195067310206
-170,320,-142.91449821048545,342.0252387098796
-170,325,-142.53923851936523,346.2871703092536
-170,330,-142.38718960153503,351.1966882910973
-170,335,-142.24163473962534,355.5572028801725
-170,340,-141.95408063761542,360.1837898723977
-170,345,-141.80463922231024,365.27187580017494
-170,350,-141.623168861975,369.6118205545539
-170,355,-140.89782380026287,375.4011971691849
-170,360,-140.7115021137873,379.6398068096441
-170,365,-140.68487630164316,384.91341749113303
-170,370,-140.54738129932792,389.79190446265653
-170,375,-140.2419088160092,394.81081805353307
-160,200,-139.89885505762555,230.14737380595287
-160,205,-139.81076905602728,234.5118772512997
-160,210,-139.52330668605245,239.45913966737595
-160,215,-139.15311563679114,243.59211449364025
-160,220,-138.8764933834411,248.13283615135566
-160,225,-138.4749532466108,252.39657930222577
-160,230,-138.23076210758532,256.69554867963507
-160,235,-137.82895660259837,262.0550195276096
-160,240,-137.6896332272412,266.68775487663726
-160,245,-137.6089756262748,271.60393883563773
-160,250,-137.33425816808133,275.87438983459316
-160,255,-137.0546902390488,280.49157947067795
-160,260,-136.7977102695898,285.15295229677207
-160,265,-136.3923758305736,289.44034479507184
-160,270,-136.25719499517803,294.3912921221588
-160,275,-135.85375470670803,298.9511563775908
-160,280,-135.87205383556662,303.67693031563675
-160,285,-135.62907476072132,309.1343238895324
-160,290,-135.41627726121234,313.24552032391546
-160,295,-135.10985710930362,317.8916616982341
-160,300,-134.92571520997282,322.78341396553134
-160,305,-134.81527964453846,327.2315165690129
-160,310,-134.54776827836338,331.5114791855657
-160,315,-134.25534857743696,337.3427201112917
-160,320,-134.13073538769567,341.6260123477839
-160,325,-133.80465083800408,347.02376193414625
-160,330,-133.53435894789598,350.86224999295666
-160,335,-133.3291150989154,355.9630138924499
-160,340,-133.036364902179,360.6907567854092
-160,345,-132.92334107207037,365.16390290446935
-160,350,-132.840076768003,369.86941012621185
-160,355,-132.49108280249015,374.87181405611744
-160,360,-132.42151304520382,379.5993634405153
-160,365,-132.25716281815397,384.3790049614204
-160,370,-131.92037452447718,389.700165016638
-160,375,-131.79377405285987,394.44994472351567
-150,200,-130.57131218908305,229.0898533125395
-150,205,-130.36782987704106,233.86274752794202
-150,210,-129.94965220182607,238.68880109788333
-150,215,-129.7618594501432,243.2877387298429
-150,220,-129.42389949965641,247.83131803572627
-150,225,-129.19815758553284,252.25448674687868
-150,230,-129.0374009256163,257.02704921825375
-150,235,-128.75274605514517,261.587256103582
-150,240,-128.407489723974,265.44766869746184
-150,245,-128.40618221089466,270.0856680388867
-150,250,-128.2039049319325,275.0966505317954
-150,255,-127.90189753618793,279.69837926442085
-150,260,-127.71950246224281,284.55360514103296
-150,265,-127.48826310672092,289.1228146717461
-150,270,-127.2638041629643,293.57487830030817
-150,275,-126.99418096619274,298.72150290309634
-150,280,-126.81538381357008,303.4079063657434
-150,285,-126.69970372225175,307.8961715145829
-150,290,-126.55028877131726,312.67452030097235
-150,295,-126.29183321161618,317.35873881052794
-150,300,-126.10061419264932,321.68157310803036
-150,305,-125.97125159509041,326.99562118225367
-150,310,-125.75813580111186,331.86168417752776
-150,315,-125.45027500047448,336.35198852685977
-150,320,-125.28922308972302,341.0226184989968
-150,325,-125.05351279430357,345.7281401878165
-150,330,-124.83457697228073,350.1045381438965
-150,335,-124.5865348948394,354.7493472628648
-150,340,-124.44352038209391,359.51917900075415
-150,345,-124.33458841389735,364.02608280125185
-150,350,-124.07116644565488,369.51341466410236
-150,355,-123.86667149996758,374.03229681755323
-150,360,-123.76557296516107,378.8299733318908
-150,365,-123.43570897079601,384.1211249332953
-150,370,-123.44052623655689,388.70087349684206
-150,375,-123.12530027468004,394.1024485832801
-140,200,-121.5342272075084,227.21841434846235
-140,205,-121.10912311917976,232.9858203788272
-140,210,-120.80309303832944,238.0636389335485
-140,215,-120.46093502035495,242.27124481113935
-140,220,-120.42022172005692,247.38054511871752
-140,225,-120.04757455594017,252.0414212111219
-140,230,-119.91454709928945,256.4785328648245
-140,235,-119.70980413412055,261.15993729064184
-140,240,-119.59672210995689,265.27937376404947
-140,245,-118.99001868193075,270.04766642832186
-140,250,-119.04095523522153,274.48526545755976
-140,255,-118.8531312383016,279.3938645081296
-140,260,-118.58058763382277,284.08810958101276
-140,265,-118.328282352833,289.1157892586268
-140,270,-118.12429146826135,293.45640450241063
-140,275,-117.91274901589041,298.19813303772173
-140,280,-117.77856155860216,303.10586672777447
-140,285,-117.54605163624583,307.2383535934503
-140,290,-117.34261663827672,311.97498822313497
-140,295,-116.93274299224701,316.98585790761973
-140,300,-116.78509683714393,321.5573035652842
-140,305,-116.8157731373034,326.9039991595826
-140,310,-116.21210554515082,331.1564849717292
-140,315,-116.06445603870749,336.5710299842228
-140,320,-115.90768655035184,341.621936783946
-140,325,-115.74419406132293,345.70463941548127
-140,330,-115.55455342580046,351.07069306608275
-140,335,-115.08336552674182,354.5876382230879
-140,340,-114.9166455085492,360.48058278540555
-140,345,-114.86977180980796,364.6710396352534
-140,350,-114.71812838757545,368.8079979483444
-140,355,-114.46049905918589,374.63296011880436
-140,360,-114.22182534515198,379.0633151884578
-140,365,-114.18800679505031,383.7151811361991
-140,370,-113.92178657762405,388.49932416320803
-140,375,-113.86820273690329,394.0238026114119
-130,200,-111.91901837754367,228.10620657752648
-130,205,-111.41452173026865,232.2432510634998
-130,210,-111.46646771230792,236.54191162251172
-130,215,-111.18266655461017,241.94074657080603
-130,220,-110.82815417041478,246.49155871325016
-130,225,-110.78636958641725,250.90441153305107
-130,230,-110.56661219957172,255.28170794263556
-130,235,-110.17470012959723,260.1812736073084
-130,240,-110.06444037296814,265.2495614829679
-130,245,-109.82612594017161,269.3130971634509
-130,250,-109.55322685635109,273.9617285995673
-130,255,-109.33327958287146,278.99949859452903
-130,260,-109.12963342314028,283.0194129966436
-130,265,-108.87972185822883,287.8320663435241
-130,270,-108.61509915645951,292.82151072363666
-130,275,-108.38149196805591,297.8358803056083
-130,280,-108.17026157193568,302.503021156965
-130,285,-108.11836917744749,306.8804111019867
-130,290,-107.89966454026771,311.93053557319575
-130,295,-107.63470681728396,316.129719462579
-130,300,-107.50296234211413,321.6207122612822
-130,305,-107.22182105723033,326.1323266956906
-130,310,-106.85295075212582,330.76698253442305
-130,315,-106.75435225417822,336.29858044154594
-130,320,-106.5583728786276,340.74332104633675
-130,325,-106.17927031711359,345.93291227774915
-130,330,-106.03167126777271,349.42247689233767
-130,335,-105.9514204575449,354.56586228650025
-130,340,-105.79366870730843,359.45636517842183
-130,345,-105.46002096989353,363.91157205947934
-130,350,-105.30641155081638,368.69065115226164
-130,355,-105.07515917959007,373.30113004737944
-130,360,-104.81700833646391,378.5849061589737
-130,365,-104.59401902431004,383.27903437875455
-130,370,-104.33539555052441,388.91731397919
-130,375,-104.28046050289242,394.09221283317663
-120,200,-102.49453811540168,227.15708535565886
-120,205,-102.15045111147026,231.94505128996488
-120,210,-101.96978854219721,236.27695732004332
-120,215,-101.59849401913455,242.09836519846806
-120,220,-101.40549410312954,246.2168587713467
-120,225,-101.20397981095645,250.4975769885944
-120,230,-100.9494284934745,254.6417660502291
-120,235,-100.70385913815498,259.3621657768249
-120,240,-100.30815280530769,263.83313346254783
-120,245,-100.09894614237425,268.5824344549731
-120,250,-99.7900488271597,273.86539030150055
-120,255,-99.6751390151027,277.8909017368652
-120,260,-99.40618736350984,282.5805154703704
-120,265,-99.07415716069708,287.91743571082753
-120,270,-98.78941546631087,292.2734444403353
-120,280,-98.22475027299244,301.1821118355082
-120,285,-98.14446062201715,305.6463549303339
-120,290,-98.16769740295462,310.8628474873478
-120,295,-97.98096869441098,315.43818925076846
-120,300,-97.75896095894754,320.20895222102706
-120,305,-97.28086777069754,325.35496343741545
-120,310,-97.09618184903577,330.1264739371215
-120,315,-96.40429719363041,335.4302857933746
-120,320,-96.64651871555357,340.4781673524865
-120,325,-96.3842160050493,344.97127164347006
-120,330,-96.28061357490121,350.10295938596704
-120,335,-96.04160186762564,354.09977457234385
-120,340,-95.807902141489,358.3333635231797
-120,345,-95.76398280678752,363.42105362519266
-120,350,-95.43825345870997,368.5124062695008
-120,355,-95.18381765504537,373.33088202014847
-120,360,-94.74256816693395,378.2629543065652
-120,365,-94.5587654862894,383.01508702075745
-120,370,-94.33712430582021,388.20424246765594
-120,375,-94.24671594376079,393.3496277909167
-110,200,-93.57156068290524,226.8908490790754
-110,205,-93.24077157141586,231.56768560836727
-110,210,-92.93524460877207,236.359981207613
-110,215,-92.88732527024902,240.79080573444008
-110,220,-92.53054328974127,245.55184735517062
-110,225,-92.20914740370112,250.59386360354782
-110,230,-92.06362960732173,254.76168598608672
-110,235,-91.85670348514158,259.58777847666505
-110,240,-91.59001743882874,263.9227699832624
-110,245,-91.39165278474415,268.6738397518592
-110,250,-91.14844702559621,273.3624229062587
-110,255,-90.89691002609739,277.5564435549897
-110,260,-90.69359233639382,282.64965439608653
-110,265,-90.36867195247461,287.4974462179442
-110,270,-90.21133030253895,291.5989386080983
-110,275,-90.01184580697895,296.2933347050816
-110,280,-89.81694919357014,301.1708878062025
-110,285,-89.57206179161537,306.340495117733
-110,290,-89.41464800223346,311.3083410356861
-110,295,-89.15367924936845,316.1107714888898
-110,300,-88.8037822187249,320.71770601741565
-110,305,-88.50877557036023,324.97074614745077
-110,310,-88.35629646994343,329.9379314399463
-110,315,-88.02460398053938,334.7998205978928
-110,320,-87.83593898093602,339.3583527202685
-110,325,-87.53186497424514,344.26962041465225
-110,330,-87.37188829771318,348.87836342951647
-110,335,-87.33851231781547,353.90478246876194
-110,340,-86.93718687225049,358.3909229321722
-110,345,-86.70734087804601,363.861744156464
-110,350,-86.5191702688716,368.4403568933491
-110,355,-86.2616009551903,373.42039692553254
-110,360,-86.04721311134404,378.3412990247845
-110,365,-85.78687791134104,383.6287659961406
-110,370,-85.41027666877545,387.6052842483065
-110,375,-85.4586424118346,392.39871611930664
-100,200,-84.29043382698408,226.49004373873197
-100,205,-84.23371974446322,231.48861507362977
-100,210,-84.02254401854715,235.59573418425956
-100,215,-83.75741850918544,240.5106460762204
-100,220,-83.38859203208659,244.60400896928223
-100,225,-83.30893431856693,249.53429434869395
-100,230,-83.08297920831302,254.48967833821462
-100,235,-82.69532619354742,259.0314679161633
-100,240,-82.49655545979489,263.79277205958164
-100,245,-82.21309491918296,268.4130602749378
-100,250,-81.96713666633745,273.1207159892773
-100,255,-81.78226812091543,277.69515274821066
-100,260,-81.42933970478988,282.76803960834735
-100,265,-81.25210056489293,286.9238715435678
-100,270,-81.04416663134583,291.99284830926536
-100,275,-80.80445906929279,296.3941683196836
-100,280,-80.10905335644262,301.3180152906974
-100,285,-80.32117766975946,305.594239112969
-100,290,-80.12355506932926,310.8075272729398
-100,295,-79.62846395088351,315.080684053614
-100,300,-78.71981620965431,320.07508646070147
-100,305,-79.33744137773122,324.7647938216326
-100,310,-79.14800783639227,329.9616275822299
-100,315,-78.95559945834846,334.18484885176053
-100,320,-78.7606008518649,339.8686902211486
-100,325,-78.40505915798963,344.9079972600546
-100,330,-78.18930862308598,348.7259944709676
-100,335,-78.03491645169345,353.35977513086345
-100,340,-77.4792209772394,357.57684254498713
-100,345,-77.5127495154389,362.44759206144903
-100,350,-76.92854336189738,367.7629365384683
-100,355,-76.93569819854369,372.64165654836575
-100,360,-75.87632457363523,377.5537385954319
-100,365,-76.36943966860996,381.8427100649582
-100,370,-76.0787005182878,387.03425538202515
-100,375,-75.43999999233218,391.92993071403737
-90,200,-74.20579627368043,225.54299342242967
-90,205,-74.01556051473861,230.20731135621426
-90,210,-74.02388190416866,234.90332131680603
-90,215,-73.82175875941952,239.94254976639812
-90,220,-73.53687536421707,244.38950139602662
-90,225,-73.29622222238743,249.25655534253934
-90,230,-73.03407484118999,253.55792600987317
-90,235,-72.78192377888666,258.2728935360435
-90,240,-72.53861957761184,263.01483482762336
-90,245,-72.24295474181783,268.042293494569
-90,250,-72.02059120009673,272.16338472417124
-90,255,-71.75647254456455,277.2256845537681
-90,260,-71.5056738651628,282.13836853647496
-90,265,-71.33033373077532,287.2009667116791
-90,270,-70.96318263841657,291.41926191718187
-90,275,-70.75213237194644,296.0340767293137
-90,280,-70.64217065258894,299.8745829155843
-90,285,-70.37502259059099,305.3090462156845
-90,290,-70.13410160299729,310.19817857432656
-90,295,-69.8819062844975,314.9259162547652
-90,300,-69.73510180821707,320.1685772003006
-90,305,-69.43650580747399,324.9527400960096
-90,310,-69.12840811379448,329.69067289651537
-90,315,-68.93420394874988,333.8767293941183
-90,320,-68.61577981797109,339.1246049951704
-90,325,-68.4774509467604,343.3753101475695
-90,330,-68.32897689796474,348.14372192040827
-90,335,-68.04632098012513,352.80363505242656
-90,340,-67.82158236737499,358.1967568831576
-90,345,-67.55272050114087,363.1693119370842
-90,350,-67.18955411738001,367.5800365283217
-90,355,-67.14032313414098,372.4425173879589
-90,360,-66.79781217210281,377.10807465096457
-90,365,-66.23869651821539,381.90328640282445
-90,370,-66.31596866408537,386.91304661707494
-90,375,-66.12248104512074,392.42436209802116
-80,200,-65.52615956382628,224.5646385959948
-80,205,-65.22316601775972,229.92676078638675
-80,210,-64.92020905137876,234.22903311944881
-80,215,-64.70334850041834,239.14052587902034
-80,220,-64.39451374719017,243.47146976308522
-80,225,-64.15904080563307,248.68149691061555
-80,230,-63.87460759569954,253.3553834732914
-80,235,-63.607198926589426,258.1559401178982
-80,240,-63.305231477835704,262.45959948664574
-80,245,-63.21009133161178,267.3120473502309
-80,250,-62.94061060442262,272.0895039534635
-80,255,-62.62982557344798,276.3258506017966
-80,260,-62.35506110295691,281.748114519583
-80,265,-62.08555633598069,286.26891173863527
-80,270,-61.86916985900057,291.07404546180203
-80,275,-61.68033601151689,296.0234388396049
-80,280,-61.35634530168845,300.29783995044056
-80,285,-61.036028069545054,305.3113627035361
-80,290,-60.924045344022666,309.8933434706741
-80,295,-60.64754370937624,314.85549216780396
-80,300,-60.41868068989053,319.8227804430936
-80,305,-60.19577130336385,324.49711193569414
-80,310,-59.81261550143935,329.1519128433789
-80,315,-59.6972821759038,334.03540626845927
-80,320,-59.46749900954779,339.1922941411827
-80,325,-59.191882356776226,343.4302153890374
-80,330,-59.0084315464563,348.121465796755
-80,335,-58.73571688058988,352.82257429198216
-80,340,-58.47714218297614,358.55559927257593
-80,345,-58.24842173663743,363.01494301521234
-80,350,-58.12096559574599,366.90088486302784
-80,355,-57.81282439052015,372.35407572778456
-80,360,-57.51620630650771,377.5731344341397
-80,365,-57.29647895452578,382.2397234538926
-80,370,-57.06533765576644,387.8989148002561
-80,375,-56.76341878922244,392.48113583617953
-70,200,-56.229073181931895,224.06465344562656
-70,205,-55.92065672423672,228.89262657751337
-70,210,-55.63867547037376,234.15917580544152
-70,215,-55.46386292527415,238.22817261021476
-70,220,-55.059444454719625,242.9571606879072
-70,225,-54.88289071674243,247.86418410194975
-70,230,-54.56551821547461,253.0718668764888
-70,235,-54.27726693545276,257.17348851892575
-70,240,-53.98638955001105,261.8262495503958
-70,245,-53.85276170464304,266.2594496887128
-70,250,-53.61697892730849,271.17181215393185
-70,255,-53.37557358383193,276.46875530493276
-70,260,-53.08091895796448,281.3879701544633
-70,265,-52.89543292343802,285.62508557663773
-70,270,-52.57264771427324,290.25079860236536
-70,275,-52.385604933750386,295.29072338067596
-70,280,-52.08661201768348,300.0230059696436
-70,285,-51.87615194786649,304.7204682675086
-70,290,-51.567152477623075,309.9870052881137
-70,295,-51.32372457968089,314.2518642292828
-70,300,-51.0673778889609,319.00967218381857
-70,305,-50.732649493119965,323.1239723910729
-70,310,-50.59468407880676,328.13416764244926
-70,315,-50.393743258076896,333.572464911015
-70,320,-50.137949634537534,337.7354831234812
-70,325,-49.865278116158535,342.88569857214304
-70,330,-49.60567508821953,347.42575423340935
-70,335,-49.31482626819811,352.2675338646897
-70,340,-49.112560112140805,357.17159788325057
-70,345,-48.93113475014269,361.9540203388828
-70,350,-48.57334947099499,367.38153108087624
-70,355,-48.34337341825469,372.3166211378262
